Harvest,Region,SHY,Irrigation_type,Value
2014 YALA,UDAWALAWE,Harvested,Minor,NA
2014 YALA,MAHAWELI 'H',Harvested,Minor,NA
2014 YALA,COLOMBO,Harvested,RainFed,776
2014 YALA,GAMPAHA,Harvested,RainFed,2120
2014 YALA,KALUTARA,Harvested,RainFed,5037
2014 YALA,KANDY,Harvested,RainFed,1618
2014 YALA,MATALE,Harvested,RainFed,354
2014 YALA,NUWARAELIYA,Harvested,RainFed,2
2014 YALA,GALLE,Harvested,RainFed,4606
2014 YALA,MATARA,Harvested,RainFed,5596
2014 YALA,HAMBANTOTA,Harvested,RainFed,532
2014 YALA,JAFFNA,Harvested,RainFed,NA
2014 YALA,MANNAR,Harvested,RainFed,NA
2014 YALA,VAVUNIYA,Harvested,RainFed,NA
2014 YALA,MULATIVU,Harvested,RainFed,NA
2014 YALA,KILLINOCHCHI,Harvested,RainFed,NA
2014 YALA,BATTICALOA,Harvested,RainFed,109
2014 YALA,AMPARA,Harvested,RainFed,1263
2014 YALA,TRINCOMALEE,Harvested,RainFed,NA
2014 YALA,KURUNEGALA,Harvested,RainFed,14508
2014 YALA,PUTTALAM,Harvested,RainFed,492
2014 YALA,ANURADHAPURA,Harvested,RainFed,5
2014 YALA,POLONNARUWA,Harvested,RainFed,NA
2014 YALA,BADULLA,Harvested,RainFed,18
2014 YALA,MONARAGALA,Harvested,RainFed,90
2014 YALA,RATNAPURA,Harvested,RainFed,1106
2014 YALA,KEGALLE,Harvested,RainFed,2543
2014 YALA,UDAWALAWE,Harvested,RainFed,NA
2014 YALA,MAHAWELI 'H',Harvested,RainFed,NA
2014 YALA,COLOMBO,Yield,Major,3171
2014 YALA,GAMPAHA,Yield,Major,3720
2014 YALA,KALUTARA,Yield,Major,2589
2014 YALA,KANDY,Yield,Major,4366
2014 YALA,MATALE,Yield,Major,4623
2014 YALA,NUWARAELIYA,Yield,Major,4084
2014 YALA,GALLE,Yield,Major,NA
2014 YALA,MATARA,Yield,Major,4861
2014 YALA,HAMBANTOTA,Yield,Major,4535
2014 YALA,JAFFNA,Yield,Major,NA
2014 YALA,MANNAR,Yield,Major,3847
2014 YALA,VAVUNIYA,Yield,Major,4909
2014 YALA,MULATIVU,Yield,Major,3726
2014 YALA,KILLINOCHCHI,Yield,Major,4238
2014 YALA,BATTICALOA,Yield,Major,4194
2014 YALA,AMPARA,Yield,Major,4782
2014 YALA,TRINCOMALEE,Yield,Major,4446
2014 YALA,KURUNEGALA,Yield,Major,4851
2014 YALA,PUTTALAM,Yield,Major,4298
2014 YALA,ANURADHAPURA,Yield,Major,4868
2014 YALA,POLONNARUWA,Yield,Major,4906
2014 YALA,BADULLA,Yield,Major,5143
2014 YALA,MONARAGALA,Yield,Major,4048
2014 YALA,RATNAPURA,Yield,Major,4591
2014 YALA,KEGALLE,Yield,Major,NA
2014 YALA,UDAWALAWE,Yield,Major,6363
2014 YALA,MAHAWELI 'H',Yield,Major,4887
2014 YALA,COLOMBO,Yield,Minor,3089
2014 YALA,GAMPAHA,Yield,Minor,3124
2014 YALA,KALUTARA,Yield,Minor,2878
2014 YALA,KANDY,Yield,Minor,3375
2014 YALA,MATALE,Yield,Minor,3831
2014 YALA,NUWARAELIYA,Yield,Minor,4332
2014 YALA,GALLE,Yield,Minor,2609
2014 YALA,MATARA,Yield,Minor,2883
2014 YALA,HAMBANTOTA,Yield,Minor,5724
2014 YALA,JAFFNA,Yield,Minor,NA
2014 YALA,MANNAR,Yield,Minor,4094
2014 YALA,VAVUNIYA,Yield,Minor,4075
2014 YALA,MULATIVU,Yield,Minor,3445
2014 YALA,KILLINOCHCHI,Yield,Minor,NA
2014 YALA,BATTICALOA,Yield,Minor,3805
2014 YALA,AMPARA,Yield,Minor,3395
2014 YALA,TRINCOMALEE,Yield,Minor,NA
2014 YALA,KURUNEGALA,Yield,Minor,3632
2014 YALA,PUTTALAM,Yield,Minor,3455
2014 YALA,ANURADHAPURA,Yield,Minor,3833
2014 YALA,POLONNARUWA,Yield,Minor,4826
2014 YALA,BADULLA,Yield,Minor,3953
2014 YALA,MONARAGALA,Yield,Minor,3357
2014 YALA,RATNAPURA,Yield,Minor,3078
2014 YALA,KEGALLE,Yield,Minor,2900
2014 YALA,UDAWALAWE,Yield,Minor,NA
2014 YALA,MAHAWELI 'H',Yield,Minor,NA
2014 YALA,COLOMBO,Yield,RainFed,3066
2014 YALA,GAMPAHA,Yield,RainFed,2882
2014 YALA,KALUTARA,Yield,RainFed,2806
2014 YALA,KANDY,Yield,RainFed,2567
2014 YALA,MATALE,Yield,RainFed,2865
2014 YALA,NUWARAELIYA,Yield,RainFed,2794
2014 YALA,GALLE,Yield,RainFed,2739
2014 YALA,MATARA,Yield,RainFed,2949
2014 YALA,HAMBANTOTA,Yield,RainFed,2748
2014 YALA,JAFFNA,Yield,RainFed,NA
2014 YALA,MANNAR,Yield,RainFed,NA
2014 YALA,VAVUNIYA,Yield,RainFed,NA
2014 YALA,MULATIVU,Yield,RainFed,NA
2014 YALA,KILLINOCHCHI,Yield,RainFed,NA
2014 YALA,BATTICALOA,Yield,RainFed,3767
2014 YALA,AMPARA,Yield,RainFed,3820
2014 YALA,TRINCOMALEE,Yield,RainFed,NA
2014 YALA,KURUNEGALA,Yield,RainFed,2077
2014 YALA,PUTTALAM,Yield,RainFed,4337
2014 YALA,ANURADHAPURA,Yield,RainFed,2578
2014 YALA,POLONNARUWA,Yield,RainFed,NA
2014 YALA,BADULLA,Yield,RainFed,3038
2014 YALA,MONARAGALA,Yield,RainFed,2682
2014 YALA,RATNAPURA,Yield,RainFed,3231
2014 YALA,KEGALLE,Yield,RainFed,2689
2014 YALA,UDAWALAWE,Yield,RainFed,NA
2014 YALA,MAHAWELI 'H',Yield,RainFed,NA
2013/2014 MAHA,COLOMBO,Sown,Major,66
2013/2014 MAHA,GAMPAHA,Sown,Major,1665
2013/2014 MAHA,KALUTARA,Sown,Major,96
2013/2014 MAHA,GALLE,Sown,Major,98
2013/2014 MAHA,MATARA,Sown,Major,3581
2013/2014 MAHA,RATNAPURA,Sown,Major,2082
2013/2014 MAHA,KEGALLE,Sown,Major,NA
2013/2014 MAHA,KURUNEGALA,Sown,Major,11973
2013/2014 MAHA,PUTTALAM,Sown,Major,4673
2013/2014 MAHA,KANDY,Sown,Major,4111
2013/2014 MAHA,MATALE,Sown,Major,6771
2013/2014 MAHA,NUWARAELIYA,Sown,Major,914
2013/2014 MAHA,BADULLA,Sown,Major,11119
2013/2014 MAHA,MONARAGALA,Sown,Major,7592
2013/2014 MAHA,JAFFNA,Sown,Major,NA
2013/2014 MAHA,KILLINOCHCHI,Sown,Major,10728
2013/2014 MAHA,VAVUNIYA,Sown,Major,1401
2013/2014 MAHA,MULATIVU*,Sown,Major,5345
2013/2014 MAHA,MANNAR,Sown,Major,3874
2013/2014 MAHA,ANURADHAPURA,Sown,Major,22210
2013/2014 MAHA,POLONNARUWA,Sown,Major,54824
2013/2014 MAHA,TRINCOMALEE,Sown,Major,13584
2013/2014 MAHA,BATTICALOA,Sown,Major,20911
2013/2014 MAHA,AMPARA,Sown,Major,62665
2013/2014 MAHA,HAMBANTOTA,Sown,Major,20021
2013/2014 MAHA,UDAWALAWE,Sown,Major,12029
2013/2014 MAHA,MAHAWELI 'H',Sown,Major,22641
2013/2014 MAHA,COLOMBO,Sown,Minor,899
2013/2014 MAHA,GAMPAHA,Sown,Minor,3501
2013/2014 MAHA,KALUTARA,Sown,Minor,2162
2013/2014 MAHA,GALLE,Sown,Minor,656
2013/2014 MAHA,MATARA,Sown,Minor,3235
2013/2014 MAHA,RATNAPURA,Sown,Minor,6757
2013/2014 MAHA,KEGALLE,Sown,Minor,2099
2013/2014 MAHA,KURUNEGALA,Sown,Minor,24623
2013/2014 MAHA,PUTTALAM,Sown,Minor,7942
2013/2014 MAHA,KANDY,Sown,Minor,5393
2013/2014 MAHA,MATALE,Sown,Minor,7765
2013/2014 MAHA,NUWARAELIYA,Sown,Minor,4091
2013/2014 MAHA,BADULLA,Sown,Minor,10935
2013/2014 MAHA,MONARAGALA,Sown,Minor,10051
2013/2014 MAHA,JAFFNA,Sown,Minor,NA
2013/2014 MAHA,KILLINOCHCHI,Sown,Minor,480
2013/2014 MAHA,VAVUNIYA,Sown,Minor,5965
2013/2014 MAHA,MULATIVU*,Sown,Minor,3286
2013/2014 MAHA,MANNAR,Sown,Minor,1412
2013/2014 MAHA,ANURADHAPURA,Sown,Minor,19990
2013/2014 MAHA,POLONNARUWA,Sown,Minor,5968
2013/2014 MAHA,TRINCOMALEE,Sown,Minor,5146
2013/2014 MAHA,BATTICALOA,Sown,Minor,3127
2013/2014 MAHA,AMPARA,Sown,Minor,3881
2013/2014 MAHA,HAMBANTOTA,Sown,Minor,5423
2013/2014 MAHA,UDAWALAWE,Sown,Minor,NA
2013/2014 MAHA,MAHAWELI 'H',Sown,Minor,NA
2013/2014 MAHA,COLOMBO,Sown,RainFed,2800
2013/2014 MAHA,GAMPAHA,Sown,RainFed,5480
2013/2014 MAHA,KALUTARA,Sown,RainFed,10486
2013/2014 MAHA,GALLE,Sown,RainFed,11949
2013/2014 MAHA,MATARA,Sown,RainFed,7074
2013/2014 MAHA,RATNAPURA,Sown,RainFed,3064
2013/2014 MAHA,KEGALLE,Sown,RainFed,3989
2013/2014 MAHA,KURUNEGALA,Sown,RainFed,24542
2013/2014 MAHA,PUTTALAM,Sown,RainFed,1329
2013/2014 MAHA,KANDY,Sown,RainFed,2522
2013/2014 MAHA,MATALE,Sown,RainFed,4042
2013/2014 MAHA,NUWARAELIYA,Sown,RainFed,26
2013/2014 MAHA,BADULLA,Sown,RainFed,5583
2013/2014 MAHA,MONARAGALA,Sown,RainFed,17171
2013/2014 MAHA,JAFFNA,Sown,RainFed,10180
2013/2014 MAHA,KILLINOCHCHI,Sown,RainFed,11689
2013/2014 MAHA,VAVUNIYA,Sown,RainFed,1011
2013/2014 MAHA,MULATIVU*,Sown,RainFed,4166
2013/2014 MAHA,MANNAR,Sown,RainFed,27
2013/2014 MAHA,ANURADHAPURA,Sown,RainFed,10589
2013/2014 MAHA,POLONNARUWA,Sown,RainFed,1408
2013/2014 MAHA,TRINCOMALEE,Sown,RainFed,7403
2013/2014 MAHA,BATTICALOA,Sown,RainFed,38166
2013/2014 MAHA,AMPARA,Sown,RainFed,15394
2013/2014 MAHA,HAMBANTOTA,Sown,RainFed,1438
2013/2014 MAHA,UDAWALAWE,Sown,RainFed,NA
2013/2014 MAHA,MAHAWELI 'H',Sown,RainFed,NA
2013/2014 MAHA,COLOMBO,Harvested,Major,65
2013/2014 MAHA,GAMPAHA,Harvested,Major,1665
2013/2014 MAHA,KALUTARA,Harvested,Major,96
2013/2014 MAHA,GALLE,Harvested,Major,98
2013/2014 MAHA,MATARA,Harvested,Major,3570
2013/2014 MAHA,RATNAPURA,Harvested,Major,2082
2013/2014 MAHA,KEGALLE,Harvested,Major,NA
2013/2014 MAHA,KURUNEGALA,Harvested,Major,11851
2013/2014 MAHA,PUTTALAM,Harvested,Major,4592
2013/2014 MAHA,KANDY,Harvested,Major,4107
2013/2014 MAHA,MATALE,Harvested,Major,6538
2013/2014 MAHA,NUWARAELIYA,Harvested,Major,914
2013/2014 MAHA,BADULLA,Harvested,Major,11117
2013/2014 MAHA,MONARAGALA,Harvested,Major,7534
2013/2014 MAHA,JAFFNA,Harvested,Major,NA
2013/2014 MAHA,KILLINOCHCHI,Harvested,Major,9789
2013/2014 MAHA,VAVUNIYA,Harvested,Major,951
2013/2014 MAHA,MULATIVU*,Harvested,Major,4079
2013/2014 MAHA,MANNAR,Harvested,Major,3672
2013/2014 MAHA,ANURADHAPURA,Harvested,Major,21370
2013/2014 MAHA,POLONNARUWA,Harvested,Major,54805
2013/2014 MAHA,TRINCOMALEE,Harvested,Major,13308
2013/2014 MAHA,BATTICALOA,Harvested,Major,20911
2013/2014 MAHA,AMPARA,Harvested,Major,62435
2013/2014 MAHA,HAMBANTOTA,Harvested,Major,20014
2013/2014 MAHA,UDAWALAWE,Harvested,Major,12029
2013/2014 MAHA,MAHAWELI 'H',Harvested,Major,22629
2013/2014 MAHA,COLOMBO,Harvested,Minor,896
2013/2014 MAHA,GAMPAHA,Harvested,Minor,3500
2013/2014 MAHA,KALUTARA,Harvested,Minor,2158
2013/2014 MAHA,GALLE,Harvested,Minor,656
2013/2014 MAHA,MATARA,Harvested,Minor,3222
2013/2014 MAHA,RATNAPURA,Harvested,Minor,6742
2013/2014 MAHA,KEGALLE,Harvested,Minor,2066
2013/2014 MAHA,KURUNEGALA,Harvested,Minor,22725
2013/2014 MAHA,PUTTALAM,Harvested,Minor,7073
2013/2014 MAHA,KANDY,Harvested,Minor,5244
2013/2014 MAHA,MATALE,Harvested,Minor,7174
2013/2014 MAHA,NUWARAELIYA,Harvested,Minor,4085
2013/2014 MAHA,BADULLA,Harvested,Minor,10689
2013/2014 MAHA,MONARAGALA,Harvested,Minor,8942
2013/2014 MAHA,JAFFNA,Harvested,Minor,NA
2013/2014 MAHA,KILLINOCHCHI,Harvested,Minor,162
2013/2014 MAHA,VAVUNIYA,Harvested,Minor,4190
2013/2014 MAHA,MULATIVU*,Harvested,Minor,1690
2013/2014 MAHA,MANNAR,Harvested,Minor,1294
2013/2014 MAHA,ANURADHAPURA,Harvested,Minor,13625
2013/2014 MAHA,POLONNARUWA,Harvested,Minor,5554
2013/2014 MAHA,TRINCOMALEE,Harvested,Minor,3632
2013/2014 MAHA,BATTICALOA,Harvested,Minor,3127
2013/2014 MAHA,AMPARA,Harvested,Minor,3577
2013/2014 MAHA,HAMBANTOTA,Harvested,Minor,5262
2013/2014 MAHA,UDAWALAWE,Harvested,Minor,NA
2013/2014 MAHA,MAHAWELI 'H',Harvested,Minor,NA
2013/2014 MAHA,COLOMBO,Harvested,RainFed,2765
2013/2014 MAHA,GAMPAHA,Harvested,RainFed,5471
2013/2014 MAHA,KALUTARA,Harvested,RainFed,10437
2013/2014 MAHA,GALLE,Harvested,RainFed,11856
2013/2014 MAHA,MATARA,Harvested,RainFed,7055
2013/2014 MAHA,RATNAPURA,Harvested,RainFed,3051
2013/2014 MAHA,KEGALLE,Harvested,RainFed,3880
2013/2014 MAHA,KURUNEGALA,Harvested,RainFed,20904
2013/2014 MAHA,PUTTALAM,Harvested,RainFed,923
2013/2014 MAHA,KANDY,Harvested,RainFed,2472
2013/2014 MAHA,MATALE,Harvested,RainFed,3377
2013/2014 MAHA,NUWARAELIYA,Harvested,RainFed,26
2013/2014 MAHA,BADULLA,Harvested,RainFed,2936
2013/2014 MAHA,MONARAGALA,Harvested,RainFed,7161
2013/2014 MAHA,JAFFNA,Harvested,RainFed,2624
2013/2014 MAHA,KILLINOCHCHI,Harvested,RainFed,3447
2013/2014 MAHA,VAVUNIYA,Harvested,RainFed,331
2013/2014 MAHA,MULATIVU*,Harvested,RainFed,617
2013/2014 MAHA,MANNAR,Harvested,RainFed,23
2013/2014 MAHA,ANURADHAPURA,Harvested,RainFed,4653
2013/2014 MAHA,POLONNARUWA,Harvested,RainFed,987
2013/2014 MAHA,TRINCOMALEE,Harvested,RainFed,4817
2013/2014 MAHA,BATTICALOA,Harvested,RainFed,38166
2013/2014 MAHA,AMPARA,Harvested,RainFed,12969
2013/2014 MAHA,HAMBANTOTA,Harvested,RainFed,1403
2013/2014 MAHA,UDAWALAWE,Harvested,RainFed,NA
2013/2014 MAHA,MAHAWELI 'H',Harvested,RainFed,NA
2013/2014 MAHA,COLOMBO,Yield,Major,2641
2013/2014 MAHA,GAMPAHA,Yield,Major,2753
2013/2014 MAHA,KALUTARA,Yield,Major,2808
2013/2014 MAHA,GALLE,Yield,Major,3838
2013/2014 MAHA,MATARA,Yield,Major,3966
2013/2014 MAHA,RATNAPURA,Yield,Major,4397
2013/2014 MAHA,KEGALLE,Yield,Major,NA
2013/2014 MAHA,KURUNEGALA,Yield,Major,4518
2013/2014 MAHA,PUTTALAM,Yield,Major,4298
2013/2014 MAHA,KANDY,Yield,Major,5056
2013/2014 MAHA,MATALE,Yield,Major,4003
2013/2014 MAHA,NUWARAELIYA,Yield,Major,4228
2013/2014 MAHA,BADULLA,Yield,Major,5816
2013/2014 MAHA,MONARAGALA,Yield,Major,5078
2013/2014 MAHA,JAFFNA,Yield,Major,NA
2013/2014 MAHA,KILLINOCHCHI,Yield,Major,4272
2013/2014 MAHA,VAVUNIYA,Yield,Major,3944
2013/2014 MAHA,MULATIVU*,Yield,Major,2724
2013/2014 MAHA,MANNAR,Yield,Major,5208
2013/2014 MAHA,ANURADHAPURA,Yield,Major,4223
2013/2014 MAHA,POLONNARUWA,Yield,Major,4795
2013/2014 MAHA,TRINCOMALEE,Yield,Major,4885
2013/2014 MAHA,BATTICALOA,Yield,Major,3581
2013/2014 MAHA,AMPARA,Yield,Major,5280
2013/2014 MAHA,HAMBANTOTA,Yield,Major,5806
2013/2014 MAHA,UDAWALAWE,Yield,Major,5811
2013/2014 MAHA,MAHAWELI 'H',Yield,Major,5868
2013/2014 MAHA,COLOMBO,Yield,Minor,3874
2013/2014 MAHA,GAMPAHA,Yield,Minor,3075
2013/2014 MAHA,KALUTARA,Yield,Minor,2636
2013/2014 MAHA,GALLE,Yield,Minor,3576
2013/2014 MAHA,MATARA,Yield,Minor,4044
2013/2014 MAHA,RATNAPURA,Yield,Minor,4318
2013/2014 MAHA,KEGALLE,Yield,Minor,3568
2013/2014 MAHA,KURUNEGALA,Yield,Minor,4188
2013/2014 MAHA,PUTTALAM,Yield,Minor,3957
2013/2014 MAHA,KANDY,Yield,Minor,3732
2013/2014 MAHA,MATALE,Yield,Minor,4268
2013/2014 MAHA,NUWARAELIYA,Yield,Minor,4444
2013/2014 MAHA,BADULLA,Yield,Minor,4106
2013/2014 MAHA,MONARAGALA,Yield,Minor,4082
2013/2014 MAHA,JAFFNA,Yield,Minor,NA
2013/2014 MAHA,KILLINOCHCHI,Yield,Minor,3064
2013/2014 MAHA,VAVUNIYA,Yield,Minor,3348
2013/2014 MAHA,MULATIVU*,Yield,Minor,2434
2013/2014 MAHA,MANNAR,Yield,Minor,5429
2013/2014 MAHA,ANURADHAPURA,Yield,Minor,3873
2013/2014 MAHA,POLONNARUWA,Yield,Minor,5228
2013/2014 MAHA,TRINCOMALEE,Yield,Minor,4607
2013/2014 MAHA,BATTICALOA,Yield,Minor,2021
2013/2014 MAHA,AMPARA,Yield,Minor,4045
2013/2014 MAHA,HAMBANTOTA,Yield,Minor,5053
2013/2014 MAHA,UDAWALAWE,Yield,Minor,NA
2013/2014 MAHA,MAHAWELI 'H',Yield,Minor,NA
2013/2014 MAHA,COLOMBO,Yield,RainFed,3468
2013/2014 MAHA,GAMPAHA,Yield,RainFed,3392
2013/2014 MAHA,KALUTARA,Yield,RainFed,2973
2013/2014 MAHA,GALLE,Yield,RainFed,3656
2013/2014 MAHA,MATARA,Yield,RainFed,3765
2013/2014 MAHA,RATNAPURA,Yield,RainFed,3231
2013/2014 MAHA,KEGALLE,Yield,RainFed,3225
2013/2014 MAHA,KURUNEGALA,Yield,RainFed,3665
2013/2014 MAHA,PUTTALAM,Yield,RainFed,3832
2013/2014 MAHA,KANDY,Yield,RainFed,3709
2013/2014 MAHA,MATALE,Yield,RainFed,3201
2013/2014 MAHA,NUWARAELIYA,Yield,RainFed,4084
2013/2014 MAHA,BADULLA,Yield,RainFed,4084
2013/2014 MAHA,MONARAGALA,Yield,RainFed,2660
2013/2014 MAHA,JAFFNA,Yield,RainFed,1547
2013/2014 MAHA,KILLINOCHCHI,Yield,RainFed,4118
2013/2014 MAHA,VAVUNIYA,Yield,RainFed,2626
2013/2014 MAHA,MULATIVU*,Yield,RainFed,1853
2013/2014 MAHA,MANNAR,Yield,RainFed,2810
2013/2014 MAHA,ANURADHAPURA,Yield,RainFed,2477
2013/2014 MAHA,POLONNARUWA,Yield,RainFed,3861
2013/2014 MAHA,TRINCOMALEE,Yield,RainFed,4846
2013/2014 MAHA,BATTICALOA,Yield,RainFed,2801
2013/2014 MAHA,AMPARA,Yield,RainFed,3215
2013/2014 MAHA,HAMBANTOTA,Yield,RainFed,4571
2013/2014 MAHA,UDAWALAWE,Yield,RainFed,NA
2013/2014 MAHA,MAHAWELI 'H',Yield,RainFed,NA
2013 YALA,COLOMBO,Sown,Major,37
2013 YALA,GAMPAHA,Sown,Major,1436
2013 YALA,KALUTARA,Sown,Major,64
2013 YALA,GALLE,Sown,Major,24
2013 YALA,MATARA,Sown,Major,3074
2013 YALA,RATNAPURA,Sown,Major,2186
2013 YALA,KEGALLE,Sown,Major,NA
2013 YALA,KURUNEGALA,Sown,Major,11660
2013 YALA,PUTTALAM,Sown,Major,5986
2013 YALA,KANDY,Sown,Major,3749
2013 YALA,MATALE,Sown,Major,5000
2013 YALA,NUWARAELIYA,Sown,Major,385
2013 YALA,BADULLA,Sown,Major,8723
2013 YALA,MONARAGALA,Sown,Major,8223
2013 YALA,JAFFNA,Sown,Major,NA
2013 YALA,KILLINOCHCHI,Sown,Major,5795
2013 YALA,VAVUNIYA,Sown,Major,2195
2013 YALA,MULATIVU,Sown,Major,2946
2013 YALA,MANNAR,Sown,Major,861
2013 YALA,ANURADHAPURA,Sown,Major,23682
2013 YALA,POLONNARUWA,Sown,Major,55296
2013 YALA,TRINCOMALEE,Sown,Major,18041
2013 YALA,BATTICALOA,Sown,Major,21878
2013 YALA,AMPARA,Sown,Major,61696
2013 YALA,HAMBANTOTA,Sown,Major,20108
2013 YALA,UDAWALAWE,Sown,Major,11994
2013 YALA,MAHAWELI 'H',Sown,Major,14134
2013 YALA,COLOMBO,Sown,Minor,295
2013 YALA,GAMPAHA,Sown,Minor,1466
2013 YALA,KALUTARA,Sown,Minor,1243
2013 YALA,GALLE,Sown,Minor,203
2013 YALA,MATARA,Sown,Minor,2614
2013 YALA,RATNAPURA,Sown,Minor,4856
2013 YALA,KEGALLE,Sown,Minor,1562
2013 YALA,KURUNEGALA,Sown,Minor,23105
2013 YALA,PUTTALAM,Sown,Minor,5021
2013 YALA,KANDY,Sown,Minor,2854
2013 YALA,MATALE,Sown,Minor,3794
2013 YALA,NUWARAELIYA,Sown,Minor,1439
2013 YALA,BADULLA,Sown,Minor,4724
2013 YALA,MONARAGALA,Sown,Minor,6037
2013 YALA,JAFFNA,Sown,Minor,NA
2013 YALA,KILLINOCHCHI,Sown,Minor,30
2013 YALA,VAVUNIYA,Sown,Minor,3067
2013 YALA,MULATIVU,Sown,Minor,950
2013 YALA,MANNAR,Sown,Minor,1388
2013 YALA,ANURADHAPURA,Sown,Minor,23103
2013 YALA,POLONNARUWA,Sown,Minor,7207
2013 YALA,TRINCOMALEE,Sown,Minor,4861
2013 YALA,BATTICALOA,Sown,Minor,3719
2013 YALA,AMPARA,Sown,Minor,2529
2013 YALA,HAMBANTOTA,Sown,Minor,4833
2013 YALA,UDAWALAWE,Sown,Minor,NA
2013 YALA,MAHAWELI 'H',Sown,Minor,NA
2013 YALA,COLOMBO,Sown,RainFed,924
2013 YALA,GAMPAHA,Sown,RainFed,1911
2013 YALA,KALUTARA,Sown,RainFed,5599
2013 YALA,GALLE,Sown,RainFed,3830
2013 YALA,MATARA,Sown,RainFed,5643
2013 YALA,RATNAPURA,Sown,RainFed,1422
2013 YALA,KEGALLE,Sown,RainFed,3162
2013 YALA,KURUNEGALA,Sown,RainFed,17696
2013 YALA,PUTTALAM,Sown,RainFed,526
2013 YALA,KANDY,Sown,RainFed,1856
2013 YALA,MATALE,Sown,RainFed,524
2013 YALA,NUWARAELIYA,Sown,RainFed,8
2013 YALA,BADULLA,Sown,RainFed,37
2013 YALA,MONARAGALA,Sown,RainFed,1085
2013 YALA,JAFFNA,Sown,RainFed,NA
2013 YALA,KILLINOCHCHI,Sown,RainFed,NA
2013 YALA,VAVUNIYA,Sown,RainFed,7
2013 YALA,MULATIVU,Sown,RainFed,NA
2013 YALA,MANNAR,Sown,RainFed,NA
2013 YALA,ANURADHAPURA,Sown,RainFed,104
2013 YALA,POLONNARUWA,Sown,RainFed,NA
2013 YALA,TRINCOMALEE,Sown,RainFed,110
2013 YALA,BATTICALOA,Sown,RainFed,1960
2013 YALA,AMPARA,Sown,RainFed,178
2013 YALA,HAMBANTOTA,Sown,RainFed,955
2013 YALA,UDAWALAWE,Sown,RainFed,NA
2013 YALA,MAHAWELI 'H',Sown,RainFed,NA
2013 YALA,COLOMBO,Harvested,Major,37
2013 YALA,GAMPAHA,Harvested,Major,1389
2013 YALA,KALUTARA,Harvested,Major,64
2013 YALA,GALLE,Harvested,Major,24
2013 YALA,MATARA,Harvested,Major,3074
2013 YALA,RATNAPURA,Harvested,Major,2185
2013 YALA,KEGALLE,Harvested,Major,NA
2013 YALA,KURUNEGALA,Harvested,Major,11657
2013 YALA,PUTTALAM,Harvested,Major,5796
2013 YALA,KANDY,Harvested,Major,3749
2013 YALA,MATALE,Harvested,Major,4999
2013 YALA,NUWARAELIYA,Harvested,Major,385
2013 YALA,BADULLA,Harvested,Major,8723
2013 YALA,MONARAGALA,Harvested,Major,8223
2013 YALA,JAFFNA,Harvested,Major,NA
2013 YALA,KILLINOCHCHI,Harvested,Major,5795
2013 YALA,VAVUNIYA,Harvested,Major,2195
2013 YALA,MULATIVU,Harvested,Major,2946
2013 YALA,MANNAR,Harvested,Major,861
2013 YALA,ANURADHAPURA,Harvested,Major,23674
2013 YALA,POLONNARUWA,Harvested,Major,55296
2013 YALA,TRINCOMALEE,Harvested,Major,18041
2013 YALA,BATTICALOA,Harvested,Major,21878
2013 YALA,AMPARA,Harvested,Major,61657
2013 YALA,HAMBANTOTA,Harvested,Major,20062
2013 YALA,UDAWALAWE,Harvested,Major,11994
2013 YALA,MAHAWELI 'H',Harvested,Major,14134
2013 YALA,COLOMBO,Harvested,Minor,295
2013 YALA,GAMPAHA,Harvested,Minor,1420
2013 YALA,KALUTARA,Harvested,Minor,1243
2013 YALA,GALLE,Harvested,Minor,203
2013 YALA,MATARA,Harvested,Minor,2610
2013 YALA,RATNAPURA,Harvested,Minor,4853
2013 YALA,KEGALLE,Harvested,Minor,1543
2013 YALA,KURUNEGALA,Harvested,Minor,22989
2013 YALA,PUTTALAM,Harvested,Minor,4851
2013 YALA,KANDY,Harvested,Minor,2843
2013 YALA,MATALE,Harvested,Minor,3780
2013 YALA,NUWARAELIYA,Harvested,Minor,1439
2013 YALA,BADULLA,Harvested,Minor,4724
2013 YALA,MONARAGALA,Harvested,Minor,6013
2013 YALA,JAFFNA,Harvested,Minor,NA
2013 YALA,KILLINOCHCHI,Harvested,Minor,30
2013 YALA,VAVUNIYA,Harvested,Minor,3067
2013 YALA,MULATIVU,Harvested,Minor,950
2013 YALA,MANNAR,Harvested,Minor,1388
2013 YALA,ANURADHAPURA,Harvested,Minor,23073
2013 YALA,POLONNARUWA,Harvested,Minor,7207
2013 YALA,TRINCOMALEE,Harvested,Minor,4861
2013 YALA,BATTICALOA,Harvested,Minor,3719
2013 YALA,AMPARA,Harvested,Minor,2517
2013 YALA,HAMBANTOTA,Harvested,Minor,4833
2013 YALA,UDAWALAWE,Harvested,Minor,NA
2013 YALA,MAHAWELI 'H',Harvested,Minor,NA
2013 YALA,COLOMBO,Harvested,RainFed,915
2013 YALA,GAMPAHA,Harvested,RainFed,1904
2013 YALA,KALUTARA,Harvested,RainFed,5598
2013 YALA,GALLE,Harvested,RainFed,3823
2013 YALA,MATARA,Harvested,RainFed,5610
2013 YALA,RATNAPURA,Harvested,RainFed,1419
2013 YALA,KEGALLE,Harvested,RainFed,3118
2013 YALA,KURUNEGALA,Harvested,RainFed,17653
2013 YALA,PUTTALAM,Harvested,RainFed,506
2013 YALA,KANDY,Harvested,RainFed,1846
