Harvest,Region,SHY,Irrigation_type,Value
21/22 MAHA,VAVUNIYA,Harvested,Major,4432
21/22 MAHA,MULATIVU,Harvested,Major,8013
21/22 MAHA,KILLINOCHCHI,Harvested,Major,12171
21/22 MAHA,BATTICALOA,Harvested,Major,24312
21/22 MAHA,AMPARA,Harvested,Major,61535
21/22 MAHA,TRINCOMALEE,Harvested,Major,21071
21/22 MAHA,KURUNEGALA,Harvested,Major,17562
21/22 MAHA,PUTTALAM,Harvested,Major,7836
21/22 MAHA,ANURADHAPURA,Harvested,Major,52616
21/22 MAHA,POLONNARUWA,Harvested,Major,57364
21/22 MAHA,BADULLA,Harvested,Major,10490
21/22 MAHA,MONARAGALA,Harvested,Major,8693
21/22 MAHA,RATNAPURA,Harvested,Major,4164
21/22 MAHA,KEGALLE,Harvested,Major,NA
21/22 MAHA,COLOMBO,Harvested,Minor,710
21/22 MAHA,GAMPAHA,Harvested,Minor,3036
21/22 MAHA,KALUTARA,Harvested,Minor,1544
21/22 MAHA,KANDY,Harvested,Minor,5176
21/22 MAHA,MATALE,Harvested,Minor,7815
21/22 MAHA,NUWARAELIYA,Harvested,Minor,4126
21/22 MAHA,GALLE,Harvested,Minor,1706
21/22 MAHA,MATARA,Harvested,Minor,2963
21/22 MAHA,HAMBANTOTA,Harvested,Minor,5438
21/22 MAHA,JAFFNA,Harvested,Minor,NA
21/22 MAHA,MANNAR,Harvested,Minor,4094
21/22 MAHA,VAVUNIYA,Harvested,Minor,12374
21/22 MAHA,MULATIVU,Harvested,Minor,4411
21/22 MAHA,KILLINOCHCHI,Harvested,Minor,577
21/22 MAHA,BATTICALOA,Harvested,Minor,3830
21/22 MAHA,AMPARA,Harvested,Minor,4612
21/22 MAHA,TRINCOMALEE,Harvested,Minor,7490
21/22 MAHA,KURUNEGALA,Harvested,Minor,37171
21/22 MAHA,PUTTALAM,Harvested,Minor,9793
21/22 MAHA,ANURADHAPURA,Harvested,Minor,50328
21/22 MAHA,POLONNARUWA,Harvested,Minor,6768
21/22 MAHA,BADULLA,Harvested,Minor,8751
21/22 MAHA,MONARAGALA,Harvested,Minor,10552
21/22 MAHA,RATNAPURA,Harvested,Minor,5857
21/22 MAHA,KEGALLE,Harvested,Minor,1779
21/22 MAHA,COLOMBO,Harvested,RainFed,2777
21/22 MAHA,GAMPAHA,Harvested,RainFed,6610
21/22 MAHA,KALUTARA,Harvested,RainFed,9893
21/22 MAHA,KANDY,Harvested,RainFed,2757
21/22 MAHA,MATALE,Harvested,RainFed,4512
21/22 MAHA,NUWARAELIYA,Harvested,RainFed,8
21/22 MAHA,GALLE,Harvested,RainFed,9071
21/22 MAHA,MATARA,Harvested,RainFed,6110
21/22 MAHA,HAMBANTOTA,Harvested,RainFed,1131
21/22 MAHA,JAFFNA,Harvested,RainFed,7775
21/22 MAHA,MANNAR,Harvested,RainFed,82
21/22 MAHA,VAVUNIYA,Harvested,RainFed,2053
21/22 MAHA,MULATIVU,Harvested,RainFed,7404
21/22 MAHA,KILLINOCHCHI,Harvested,RainFed,14655
21/22 MAHA,BATTICALOA,Harvested,RainFed,38378
21/22 MAHA,AMPARA,Harvested,RainFed,15083
21/22 MAHA,TRINCOMALEE,Harvested,RainFed,11068
21/22 MAHA,KURUNEGALA,Harvested,RainFed,25876
21/22 MAHA,PUTTALAM,Harvested,RainFed,1849
21/22 MAHA,ANURADHAPURA,Harvested,RainFed,13621
21/22 MAHA,POLONNARUWA,Harvested,RainFed,2404
21/22 MAHA,BADULLA,Harvested,RainFed,4944
21/22 MAHA,MONARAGALA,Harvested,RainFed,14943
21/22 MAHA,RATNAPURA,Harvested,RainFed,3020
21/22 MAHA,KEGALLE,Harvested,RainFed,4512
21/22 MAHA,COLOMBO,Yield,Major,3321
21/22 MAHA,GAMPAHA,Yield,Major,2056
21/22 MAHA,KALUTARA,Yield,Major,3716
21/22 MAHA,KANDY,Yield,Major,3092
21/22 MAHA,MATALE,Yield,Major,3089
21/22 MAHA,NUWARAELIYA,Yield,Major,4652
21/22 MAHA,GALLE,Yield,Major,2653
21/22 MAHA,MATARA,Yield,Major,3149
21/22 MAHA,HAMBANTOTA,Yield,Major,4144
21/22 MAHA,JAFFNA,Yield,Major,NA
21/22 MAHA,MANNAR,Yield,Major,2702
21/22 MAHA,VAVUNIYA,Yield,Major,2524
21/22 MAHA,MULATIVU,Yield,Major,2267
21/22 MAHA,KILLINOCHCHI,Yield,Major,2847
21/22 MAHA,BATTICALOA,Yield,Major,1918
21/22 MAHA,AMPARA,Yield,Major,3046
21/22 MAHA,TRINCOMALEE,Yield,Major,3199
21/22 MAHA,KURUNEGALA,Yield,Major,3405
21/22 MAHA,PUTTALAM,Yield,Major,2490
21/22 MAHA,ANURADHAPURA,Yield,Major,3132
21/22 MAHA,POLONNARUWA,Yield,Major,3175
21/22 MAHA,BADULLA,Yield,Major,2830
21/22 MAHA,MONARAGALA,Yield,Major,3957
21/22 MAHA,RATNAPURA,Yield,Major,4524
21/22 MAHA,KEGALLE,Yield,Major,NA
21/22 MAHA,COLOMBO,Yield,Minor,2236
21/22 MAHA,GAMPAHA,Yield,Minor,2671
21/22 MAHA,KALUTARA,Yield,Minor,2341
21/22 MAHA,KANDY,Yield,Minor,3190
21/22 MAHA,MATALE,Yield,Minor,3601
21/22 MAHA,NUWARAELIYA,Yield,Minor,3763
21/22 MAHA,GALLE,Yield,Minor,2825
21/22 MAHA,MATARA,Yield,Minor,2625
21/22 MAHA,HAMBANTOTA,Yield,Minor,3180
21/22 MAHA,JAFFNA,Yield,Minor,NA
21/22 MAHA,MANNAR,Yield,Minor,2534
21/22 MAHA,VAVUNIYA,Yield,Minor,2377
21/22 MAHA,MULATIVU,Yield,Minor,2619
21/22 MAHA,KILLINOCHCHI,Yield,Minor,2791
21/22 MAHA,BATTICALOA,Yield,Minor,1717
21/22 MAHA,AMPARA,Yield,Minor,2680
21/22 MAHA,TRINCOMALEE,Yield,Minor,2482
21/22 MAHA,KURUNEGALA,Yield,Minor,3060
21/22 MAHA,PUTTALAM,Yield,Minor,2281
21/22 MAHA,ANURADHAPURA,Yield,Minor,2698
21/22 MAHA,POLONNARUWA,Yield,Minor,2701
21/22 MAHA,BADULLA,Yield,Minor,3456
21/22 MAHA,MONARAGALA,Yield,Minor,3129
21/22 MAHA,RATNAPURA,Yield,Minor,2897
21/22 MAHA,KEGALLE,Yield,Minor,3395
21/22 MAHA,COLOMBO,Yield,RainFed,2500
21/22 MAHA,GAMPAHA,Yield,RainFed,3105
21/22 MAHA,KALUTARA,Yield,RainFed,2583
21/22 MAHA,KANDY,Yield,RainFed,3540
21/22 MAHA,MATALE,Yield,RainFed,3304
21/22 MAHA,NUWARAELIYA,Yield,RainFed,3870
21/22 MAHA,GALLE,Yield,RainFed,2453
21/22 MAHA,MATARA,Yield,RainFed,2573
21/22 MAHA,HAMBANTOTA,Yield,RainFed,3202
21/22 MAHA,JAFFNA,Yield,RainFed,2176
21/22 MAHA,MANNAR,Yield,RainFed,1304
21/22 MAHA,VAVUNIYA,Yield,RainFed,2020
21/22 MAHA,MULATIVU,Yield,RainFed,2158
21/22 MAHA,KILLINOCHCHI,Yield,RainFed,2172
21/22 MAHA,BATTICALOA,Yield,RainFed,1456
21/22 MAHA,AMPARA,Yield,RainFed,2141
21/22 MAHA,TRINCOMALEE,Yield,RainFed,1762
21/22 MAHA,KURUNEGALA,Yield,RainFed,3353
21/22 MAHA,PUTTALAM,Yield,RainFed,2803
21/22 MAHA,ANURADHAPURA,Yield,RainFed,2525
21/22 MAHA,POLONNARUWA,Yield,RainFed,2506
21/22 MAHA,BADULLA,Yield,RainFed,2686
21/22 MAHA,MONARAGALA,Yield,RainFed,2321
21/22 MAHA,RATNAPURA,Yield,RainFed,2676
21/22 MAHA,KEGALLE,Yield,RainFed,3540
2021 YALA,COLOMBO,Sown,Major,286
2021 YALA,GAMPAHA,Sown,Major,1811
2021 YALA,KALUTARA,Sown,Major,163
2021 YALA,KANDY,Sown,Major,3936
2021 YALA,MATALE,Sown,Major,7001
2021 YALA,NUWARAELIYA,Sown,Major,490
2021 YALA,GALLE,Sown,Major,100
2021 YALA,MATARA,Sown,Major,4316
2021 YALA,HAMBANTOTA,Sown,Major,28735
2021 YALA,JAFFNA,Sown,Major,NA
2021 YALA,MANNAR,Sown,Major,2210
2021 YALA,VAVUNIYA,Sown,Major,2136
2021 YALA,MULATIVU,Sown,Major,5875
2021 YALA,KILLINOCHCHI,Sown,Major,9961
2021 YALA,BATTICALOA,Sown,Major,22103
2021 YALA,AMPARA,Sown,Major,59755
2021 YALA,TRINCOMALEE,Sown,Major,20223
2021 YALA,KURUNEGALA,Sown,Major,15650
2021 YALA,PUTTALAM,Sown,Major,8194
2021 YALA,ANURADHAPURA,Sown,Major,40880
2021 YALA,POLONNARUWA,Sown,Major,56994
2021 YALA,BADULLA,Sown,Major,7855
2021 YALA,MONARAGALA,Sown,Major,7972
2021 YALA,RATNAPURA,Sown,Major,4023
2021 YALA,KEGALLE,Sown,Major,NA
2021 YALA,COLOMBO,Sown,Minor,327
2021 YALA,GAMPAHA,Sown,Minor,2777
2021 YALA,KALUTARA,Sown,Minor,1408
2021 YALA,KANDY,Sown,Minor,3124
2021 YALA,MATALE,Sown,Minor,4486
2021 YALA,NUWARAELIYA,Sown,Minor,2082
2021 YALA,GALLE,Sown,Minor,989
2021 YALA,MATARA,Sown,Minor,3316
2021 YALA,HAMBANTOTA,Sown,Minor,4662
2021 YALA,JAFFNA,Sown,Minor,NA
2021 YALA,MANNAR,Sown,Minor,530
2021 YALA,VAVUNIYA,Sown,Minor,2876
2021 YALA,MULATIVU,Sown,Minor,1508
2021 YALA,KILLINOCHCHI,Sown,Minor,110
2021 YALA,BATTICALOA,Sown,Minor,4401
2021 YALA,AMPARA,Sown,Minor,2468
2021 YALA,TRINCOMALEE,Sown,Minor,4501
2021 YALA,KURUNEGALA,Sown,Minor,31749
2021 YALA,PUTTALAM,Sown,Minor,9200
2021 YALA,ANURADHAPURA,Sown,Minor,20703
2021 YALA,POLONNARUWA,Sown,Minor,5632
2021 YALA,BADULLA,Sown,Minor,4186
2021 YALA,MONARAGALA,Sown,Minor,7090
2021 YALA,RATNAPURA,Sown,Minor,4916
2021 YALA,KEGALLE,Sown,Minor,1466
2021 YALA,COLOMBO,Sown,RainFed,1908
